             x                y                z         azimuth        dip        iRx
  -5598.07617       3696.15234       790.000000       30.0000000               0         350
  -5424.87109       3796.15234       790.000000       30.0000000               0         351
  -5251.66602       3896.15234       790.000000       30.0000000               0         352
  -5078.46094       3996.15234       790.000000       30.0000000               0         353
  -4905.25586       4096.15234       790.000000       30.0000000               0         354
  -4732.05078       4196.15234       790.000000       30.0000000               0         355
  -4558.84570       4296.15234       790.000000       30.0000000               0         356
  -4385.64062       4396.15234       790.000000       30.0000000               0         357
  -4212.43555       4496.15234       790.000000       30.0000000               0         358
  -4039.23047       4596.15234       790.000000       30.0000000               0         359
  -3866.02539       4696.15234       790.000000       30.0000000               0         360
  -3692.82031       4796.15234       790.000000       30.0000000               0         361
  -3519.61523       4896.15234       790.000000       30.0000000               0         362
  -3346.41016       4996.15234       790.000000       30.0000000               0         363
  -3173.20508       5096.15234       790.000000       30.0000000               0         364
  -3000.00000       5196.15234       790.000000       30.0000000               0         365
  -2826.79492       5296.15234       790.000000       30.0000000               0         366
  -2653.58984       5396.15234       790.000000       30.0000000               0         367
  -2480.38477       5496.15234       790.000000       30.0000000               0         368
  -2307.17969       5596.15234       790.000000       30.0000000               0         369
  -2133.97461       5696.15234       790.000000       30.0000000               0         370
  -1960.76953       5796.15234       790.000000       30.0000000               0         371
  -1787.56445       5896.15234       790.000000       30.0000000               0         372
  -1614.35938       5996.15234       790.000000       30.0000000               0         373
  -1441.15430       6096.15234       790.000000       30.0000000               0         374
  -1267.94922       6196.15234       790.000000       30.0000000               0         375
  -1094.74414       6296.15234       790.000000       30.0000000               0         376
  -921.539062       6396.15234       790.000000       30.0000000               0         377
  -748.333984       6496.15234       790.000000       30.0000000               0         378
  -575.128906       6596.15234       790.000000       30.0000000               0         379
  -401.923828       6696.15234       790.000000       30.0000000               0         380
  -228.718750       6796.15234       790.000000       30.0000000               0         381
  -55.5136719       6896.15234       790.000000       30.0000000               0         382
   117.691406       6996.15234       790.000000       30.0000000               0         383
   290.896484       7096.15234       790.000000       30.0000000               0         384
   464.101562       7196.15234       790.000000       30.0000000               0         385
   637.306641       7296.15234       790.000000       30.0000000               0         386
   810.511719       7396.15234       790.000000       30.0000000               0         387
   983.716797       7496.15234       790.000000       30.0000000               0         388
   1156.92188       7596.15234       790.000000       30.0000000               0         389
   1330.12695       7696.15234       790.000000       30.0000000               0         390
   1503.33203       7796.15234       790.000000       30.0000000               0         391
   1676.53711       7896.15234       790.000000       30.0000000               0         392
   1849.74219       7996.15234       790.000000       30.0000000               0         393
   2022.94727       8096.15234       790.000000       30.0000000               0         394
   2196.15234       8196.15234       790.000000       30.0000000               0         395
   2369.35742       8296.15234       790.000000       30.0000000               0         396
   2542.56250       8396.15234       790.000000       30.0000000               0         397
   2715.76758       8496.15234       790.000000       30.0000000               0         398
   2888.97266       8596.15234       790.000000       30.0000000               0         399
   3062.17773       8696.15234       790.000000       30.0000000               0         400
   3235.38281       8796.15234       790.000000       30.0000000               0         401
   3408.58789       8896.15234       790.000000       30.0000000               0         402
   3581.79297       8996.15234       790.000000       30.0000000               0         403
   3754.99805       9096.15234       790.000000       30.0000000               0         404
   3928.20312       9196.15234       790.000000       30.0000000               0         405
  -1196.15234      -9928.20312       790.000000       30.0000000               0         406
   1401.92383      -8428.20312       790.000000       30.0000000               0         407
   4000.00000      -6928.20312       790.000000       30.0000000               0         408
   6598.07617      -5428.20312       790.000000       30.0000000               0         409
   9196.15234      -3928.20312       790.000000       30.0000000               0         410
  -1296.15234      -9754.99805       790.000000       30.0000000               0         411
   1301.92383      -8254.99805       790.000000       30.0000000               0         412
   3900.00000      -6754.99805       790.000000       30.0000000               0         413
   6498.07617      -5254.99805       790.000000       30.0000000               0         414
   9096.15234      -3754.99805       790.000000       30.0000000               0         415
  -1396.15234      -9581.79297       790.000000       30.0000000               0         416
   1201.92383      -8081.79297       790.000000       30.0000000               0         417
   3800.00000      -6581.79297       790.000000       30.0000000               0         418
   6398.07617      -5081.79297       790.000000       30.0000000               0         419
   8996.15234      -3581.79297       790.000000       30.0000000               0         420
  -1496.15234      -9408.58789       790.000000       30.0000000               0         421
   1101.92383      -7908.58789       790.000000       30.0000000               0         422
   3700.00000      -6408.58789       790.000000       30.0000000               0         423
   6298.07617      -4908.58789       790.000000       30.0000000               0         424
   8896.15234      -3408.58789       790.000000       30.0000000               0         425
  -1596.15234      -9235.38281       790.000000       30.0000000               0         426
   1001.92383      -7735.38281       790.000000       30.0000000               0         427
   3600.00000      -6235.38281       790.000000       30.0000000               0         428
   6198.07617      -4735.38281       790.000000       30.0000000               0         429
   8796.15234      -3235.38281       790.000000       30.0000000               0         430
  -1696.15234      -9062.17773       790.000000       30.0000000               0         431
   901.923828      -7562.17773       790.000000       30.0000000               0         432
   3500.00000      -6062.17773       790.000000       30.0000000               0         433
   6098.07617      -4562.17773       790.000000       30.0000000               0         434
   8696.15234      -3062.17773       790.000000       30.0000000               0         435
  -1796.15234      -8888.97266       790.000000       30.0000000               0         436
   801.923828      -7388.97266       790.000000       30.0000000               0         437
   3400.00000      -5888.97266       790.000000       30.0000000               0         438
   5998.07617      -4388.97266       790.000000       30.0000000               0         439
   8596.15234      -2888.97266       790.000000       30.0000000               0         440
  -1896.15234      -8715.76758       790.000000       30.0000000               0         441
   701.923828      -7215.76758       790.000000       30.0000000               0         442
   3300.00000      -5715.76758       790.000000       30.0000000               0         443
   5898.07617      -4215.76758       790.000000       30.0000000               0         444
